,LandValue,SubwayDistance,RoomsNumber,Price
0,36.8,9.0,2.0,280030.3
1,54.2,9.4,3.0,449733.73
2,43.2,12.4,2.0,251878.36
3,42.9,13.8,3.0,354598.67
4,46.1,11.9,3.0,420072.14
5,62.0,6.8,3.0,608247.18
6,49.9,6.8,3.0,511094.05
7,67.8,7.6,3.0,555308.0
8,30.0,12.3,3.0,273087.57
9,56.7,16.2,3.0,397536.74
10,46.4,13.8,2.0,254666.06
11,63.0,13.6,4.0,540837.82
12,60.3,8.9,3.0,518763.36
13,37.3,18.5,2.0,138946.61
14,37.3,9.8,3.0,353292.9
15,28.4,14.0,2.0,161608.4
16,50.8,14.3,3.0,363303.15
17,50.0,8.6,3.0,457698.16
18,42.8,12.0,3.0,330180.67
19,36.2,6.2,3.0,370412.54
20,52.7,12.8,3.0,423382.82
21,67.4,5.0,3.0,651310.8
22,45.3,5.3,3.0,442054.93
23,62.9,7.0,3.0,538686.98
24,52.1,7.6,3.0,481086.21
25,57.4,8.2,3.0,534825.8
26,46.7,7.8,4.0,509780.98
27,56.0,11.4,3.0,434023.28
28,48.8,9.1,3.0,493742.3
29,45.2,14.9,3.0,325130.77
30,42.9,13.3,4.0,399418.77
31,43.7,11.8,2.0,256258.22
32,51.3,11.0,3.0,395133.61
33,44.5,14.1,3.0,344589.85
34,27.6,9.7,3.0,302097.41
35,37.8,6.3,2.0,351558.44
36,70.9,16.9,3.0,503102.97
37,38.1,15.2,2.0,199750.41
38,58.7,9.9,3.0,494407.55
39,71.4,7.5,3.0,682325.18
40,35.6,11.9,3.0,270358.85
41,43.6,8.8,3.0,396168.94
42,69.2,13.9,3.0,562322.63
43,44.7,9.2,3.0,428562.36
44,55.8,11.9,3.0,454120.29
45,48.4,7.7,4.0,573159.37
46,57.8,5.6,3.0,611863.27
47,47.0,13.4,3.0,401430.39
48,60.8,7.1,3.0,578590.5
49,48.8,7.5,4.0,544570.39
50,55.7,12.9,2.0,345164.3
51,28.2,14.7,3.0,260656.17
52,43.9,12.7,2.0,290578.63
53,43.4,13.2,3.0,299723.58
54,44.3,5.8,3.0,432056.89
55,54.9,11.4,4.0,544136.05
56,54.6,6.2,3.0,518141.95
57,50.6,8.3,3.0,460427.1
58,57.6,14.4,3.0,430138.23
59,50.1,13.0,3.0,405326.04
60,51.9,5.0,4.0,595751.56
61,37.8,9.7,3.0,305884.02
62,60.9,14.3,3.0,402855.75
63,54.4,14.2,4.0,471410.91
