,AverageBookRating,AverageReaderAge,BooksPublished,Revenue
0,1.7,26.6,61.0,117337.65
1,2.1,24.3,33.0,73455.31
2,1.8,45.3,57.0,112434.53
3,2.2,30.8,47.0,96938.16
4,1.7,52.3,48.0,98340.63
5,2.4,49.2,61.0,119538.91
6,2.3,20.9,48.0,98347.01
7,1.3,36.6,46.0,92996.42
8,1.4,40.7,41.0,86174.66
9,3.1,14.1,51.0,103427.33
10,2.1,34.7,47.0,97868.96
11,2.5,24.4,42.0,87920.63
12,2.2,48.5,59.0,116689.14
13,2.1,41.0,28.0,64977.32
14,2.1,33.9,57.0,111630.71
15,1.5,34.6,68.0,129267.15
16,2.0,36.8,50.0,99962.12
17,1.8,46.2,9.0,34333.54
18,1.6,33.9,65.0,127030.61
19,1.8,45.1,30.0,68322.99
20,2.1,44.5,35.0,75888.79
21,2.0,38.6,47.0,96392.68
22,0.8,27.8,40.0,85994.15
23,2.2,15.5,66.0,127057.53
24,1.9,34.2,58.0,113970.57
25,2.0,27.3,47.0,94331.37
26,2.2,34.9,18.0,49617.34
27,2.2,42.8,32.0,70940.86
28,2.0,37.3,41.0,84782.37
29,1.8,38.9,45.0,94488.63
30,2.0,24.8,45.0,91721.74
31,2.6,50.3,49.0,99701.88
32,2.2,21.4,68.0,129766.25
33,2.0,33.7,45.0,91643.91
34,1.7,42.3,48.0,96874.79
35,1.1,33.1,59.0,114258.38
36,2.0,43.4,50.0,101442.57
37,1.8,31.9,66.0,127871.95
38,1.9,46.0,53.0,106791.8
39,2.2,60.9,34.0,74753.14
40,2.2,28.5,43.0,87910.57
41,2.1,33.1,54.0,106541.88
42,1.1,20.3,56.0,109555.99
43,2.3,43.6,58.0,114450.88
44,1.2,39.1,19.0,49755.14
45,1.6,25.5,56.0,112988.4
46,2.1,49.2,43.0,92422.23
47,2.0,32.3,59.0,114846.85
48,1.7,26.7,50.0,99864.49
49,1.3,44.3,53.0,105658.81
50,3.0,45.9,68.0,129868.51
51,1.8,30.2,44.0,91596.27
52,1.5,29.6,32.0,71957.44
53,2.2,46.6,69.0,132809.9
54,2.0,17.6,55.0,108414.9
55,2.9,35.5,49.0,97926.09
56,1.3,22.9,28.0,66031.29
57,1.2,32.0,70.0,133537.51
58,1.9,34.1,63.0,121216.12
59,2.3,46.6,31.0,71464.41
60,2.8,21.4,48.0,96894.93
61,1.3,48.4,56.0,111529.66
62,1.5,43.1,16.0,46246.62
63,2.7,52.3,45.0,93794.98
64,2.6,20.3,56.0,110069.93
65,1.2,29.0,37.0,80212.45
66,1.7,49.3,48.0,98096.32
67,2.6,20.7,58.0,113830.71
68,3.2,37.8,48.0,94770.2
69,1.5,13.9,48.0,97842.64
70,2.1,28.9,47.0,94423.63
71,2.1,23.3,42.0,87942.03
72,1.6,41.4,36.0,80288.39
73,2.3,25.8,63.0,122140.05
74,1.8,27.7,59.0,114383.7
75,2.1,34.1,44.0,91265.75
76,1.7,12.5,52.0,103679.05
77,1.6,37.4,45.0,92870.36
78,2.8,44.0,53.0,106490.37
79,2.2,31.9,55.0,111053.53
80,2.3,23.6,35.0,76875.61
81,2.8,33.2,52.0,104696.93
82,1.5,42.8,31.0,68737.16
83,1.9,30.2,58.0,113802.47
84,2.9,39.5,67.0,126660.68
85,1.8,44.2,50.0,102082.82
