,Power,Acceleration,Mass,MaxSpeed
0,259.74,9.92,4874.73,80.4
1,253.8,10.29,2761.0600000000004,139.7
2,190.49,9.5,846.6400000000003,164.8
3,412.68,13.98,4479.21,167.8
4,519.2,11.49,4086.44,232.1
5,361.48,11.05,3765.61,163.4
6,347.17,12.83,4195.05,143.8
7,519.06,9.61,3563.47,247.4
8,292.55,10.91,3486.9,137.5
9,409.67,12.92,2498.83,224.4
10,368.42,11.21,2854.83,193.7
11,511.98,5.47,2862.4399999999996,264.4
12,380.49,11.55,3774.77,172.5
13,491.41,9.36,2292.9700000000003,271.1
14,464.4,10.94,1434.7600000000002,282.9
15,302.1,7.36,2181.91,180.4
16,258.77,9.69,2277.3500000000004,156.4
17,321.52,6.76,2297.42,186.8
18,435.26,8.69,3455.56,209.2
19,260.39,12.0,2309.12,156.0
20,440.36,6.55,1424.17,271.4
21,500.4,12.12,3038.45,253.6
22,319.57,10.96,2226.8599999999997,187.9
23,452.67,11.66,3345.55,220.8
24,695.45,11.45,2868.2,355.2
25,450.34,12.57,4862.0599999999995,175.6
26,521.33,16.07,3037.64,264.2
27,405.18,10.53,2093.3500000000004,234.1
28,412.79,8.06,1720.21,248.8
29,337.84,11.19,2768.83,180.9
30,446.3,12.28,3081.48,225.5
31,472.37,12.72,3356.45,230.3
32,466.22,10.16,1016.5,296.0
33,388.99,10.02,2401.16,217.0
34,285.04,13.64,3514.6,132.9
35,375.15,12.1,4077.53,161.0
36,374.09,10.2,3587.36,174.9
37,329.75,11.72,4642.63,121.9
38,326.75,10.97,3250.08,161.4
39,430.79,8.96,2126.7200000000003,245.8
40,360.93,6.94,3136.78,181.5
41,437.19,8.51,2022.5200000000004,252.1
42,448.85,13.81,3107.52,225.9
43,564.38,8.75,3706.75,265.6
44,409.86,10.39,3126.45,206.2
45,492.0,11.45,2576.25,263.2
46,336.82,11.87,5078.2,112.7
47,388.29,10.62,1614.7299999999996,239.8
48,352.34,8.75,3330.85,171.6
49,444.57,10.94,2504.66,241.7
50,486.64,11.09,2896.63,250.8
51,314.96,7.79,3070.53,160.8
52,406.44,11.36,2472.24,223.7
53,463.44,10.63,2813.3599999999997,241.9
54,382.66,8.79,2607.92,207.9
55,446.99,12.1,3216.72,222.0
56,471.91,11.41,3300.06,231.8
57,397.87,9.15,2859.7700000000004,208.1
58,317.52,11.74,924.04,225.1
59,547.28,15.47,2033.5900000000001,306.4
60,456.29,7.74,2483.83,248.1
61,268.24,10.81,4023.13,109.7
62,327.58,14.32,1180.9399999999996,222.6
63,348.97,12.29,2906.84,182.3
64,309.8,8.84,2937.57,162.2
65,244.94,9.17,4587.34,81.6
66,394.19,8.92,2804.76,208.0
67,505.28,8.85,2700.63,266.2
68,308.88,9.04,3318.86,150.5
69,415.26,11.22,2996.86,212.7
70,173.76,7.2,2651.16,103.2
71,251.26,14.32,3319.75,121.9
72,359.33,10.81,3164.0,180.0
73,509.58,8.64,2428.37,276.0
74,291.41,3.04,3495.92,136.5
75,607.48,11.09,4082.94,276.0
76,475.23,11.82,2650.75,252.7
77,432.27,12.85,2774.3999999999996,227.6
78,182.02,9.5,5384.86,26.7
79,415.11,10.47,3458.04,199.0
80,250.71,8.03,4124.6,98.0
81,368.19,13.91,3505.6,174.3
82,280.76,9.57,3627.65,127.6
83,396.04,14.17,4833.25,149.2
84,332.4,10.78,2236.09,194.0
85,433.01,11.19,3913.58,194.5
86,359.36,8.94,2743.59,192.2
87,409.54,11.45,2924.72,212.0
