,Strength,Leadership,Team
0,48.92,14.06,TeamA
1,41.4,39.18,TeamA
2,3.79,18.06,TeamA
3,9.65,49.66,TeamA
4,28.51,23.55,TeamA
5,7.06,33.7,TeamA
6,42.19,29.31,TeamA
7,22.83,42.56,TeamA
8,25.0,10.15,TeamA
9,37.67,37.38,TeamA
10,6.62,25.48,TeamA
11,29.56,16.08,TeamA
12,48.58,46.15,TeamA
13,6.07,16.95,TeamA
14,3.3,30.38,TeamA
15,43.88,10.54,TeamA
16,35.38,20.04,TeamA
17,43.12,44.4,TeamA
18,27.27,43.65,TeamA
19,4.86,15.32,TeamA
20,20.08,26.57,TeamA
21,24.66,49.42,TeamA
22,30.24,8.22,TeamA
23,19.93,16.19,TeamA
24,12.4,29.56,TeamA
25,29.19,37.04,TeamA
26,37.45,25.99,TeamA
27,10.34,28.94,TeamA
28,14.52,25.75,TeamA
29,35.31,28.47,TeamA
30,44.55,26.32,TeamA
31,16.37,18.98,TeamA
32,22.39,18.11,TeamA
33,40.57,43.05,TeamA
34,31.39,26.48,TeamA
35,29.53,6.51,TeamA
36,6.04,32.6,TeamA
37,43.59,35.7,TeamA
38,38.18,4.17,TeamA
39,41.67,43.79,TeamA
40,44.67,47.16,TeamA
41,30.19,34.06,TeamA
42,17.79,39.0,TeamA
43,38.07,31.76,TeamA
44,16.69,34.12,TeamA
45,4.94,46.55,TeamA
46,40.91,48.31,TeamA
47,28.38,8.48,TeamA
48,35.64,7.12,TeamA
49,8.07,12.86,TeamA
50,17.67,40.2,TeamA
51,41.66,38.7,TeamA
52,26.37,37.56,TeamA
53,48.6,24.37,TeamA
54,18.21,14.11,TeamA
55,25.62,9.73,TeamA
56,47.27,7.06,TeamA
57,5.44,29.37,TeamA
58,46.42,36.21,TeamA
59,25.64,3.42,TeamA
60,4.71,33.72,TeamA
61,49.15,18.18,TeamA
62,30.62,29.13,TeamA
63,30.62,15.32,TeamA
64,48.92,27.45,TeamA
65,37.32,40.44,TeamA
66,14.42,47.55,TeamA
67,16.05,1.0,TeamA
68,15.41,25.78,TeamA
69,7.26,8.9,TeamA
70,14.63,49.0,TeamA
71,4.28,15.51,TeamA
72,16.28,37.24,TeamA
73,16.35,21.07,TeamA
74,36.16,48.06,TeamA
75,37.64,34.4,TeamA
76,38.6,40.2,TeamA
77,30.91,4.26,TeamA
78,27.03,14.57,TeamA
79,27.65,8.83,TeamA
80,9.06,25.47,TeamA
81,6.86,29.17,TeamA
82,14.09,17.98,TeamA
