,Cost,Rating,Quality
0,2202.82,16.08,Cheap
1,2118.57,13.3,Cheap
2,2892.93,17.99,Cheap
3,2367.88,15.13,Cheap
4,2358.26,14.68,Cheap
5,1579.81,12.39,Cheap
6,2512.69,15.19,Cheap
7,2101.21,19.5,Cheap
8,1621.6,9.39,Cheap
9,2455.23,20.11,Cheap
10,1925.13,14.98,Cheap
11,1197.93,5.93,Cheap
12,2296.94,15.21,Cheap
13,1128.69,5.9,Cheap
14,2368.65,8.51,Cheap
15,2696.21,19.0,Cheap
16,2349.52,23.25,Cheap
17,2248.25,9.0,Cheap
18,1307.99,14.13,Cheap
19,2540.88,16.43,Cheap
20,2655.24,16.38,Cheap
21,1252.38,8.94,Cheap
22,1590.8,8.23,Cheap
23,1888.33,8.32,Cheap
24,1603.09,5.71,Cheap
25,2986.62,21.07,Cheap
26,1130.99,9.04,Cheap
27,1729.17,12.84,Cheap
28,2270.98,16.44,Cheap
29,2606.69,19.07,Cheap
30,2008.87,17.33,Cheap
31,2765.87,16.46,Cheap
32,2414.0,16.36,Cheap
33,2078.16,13.23,Cheap
34,2171.18,13.93,Cheap
35,2074.99,12.85,Cheap
36,1830.43,8.69,Cheap
37,1124.77,7.27,Cheap
38,2821.2,22.27,Cheap
39,2509.26,17.21,Cheap
40,2109.41,11.79,Cheap
41,2554.62,13.54,Cheap
42,1151.24,9.56,Cheap
43,2995.23,16.48,Cheap
44,1076.54,7.77,Cheap
45,1743.49,10.89,Cheap
46,2168.24,19.55,Cheap
47,2457.71,22.14,Cheap
48,2149.38,15.73,Cheap
49,1292.44,4.63,Cheap
50,2778.34,19.3,Cheap
51,1213.11,6.82,Cheap
52,1200.07,10.86,Cheap
53,2518.82,15.3,Cheap
54,1452.81,11.49,Cheap
55,2318.48,12.03,Cheap
56,2792.83,17.74,Cheap
57,2182.17,15.59,Cheap
58,2351.24,13.38,Cheap
59,1958.92,13.81,Cheap
60,1264.99,9.34,Cheap
61,2104.08,14.03,Cheap
62,2231.06,17.2,Cheap
63,1750.95,14.29,Cheap
64,1541.46,9.82,Cheap
65,2213.17,17.56,Cheap
66,2917.03,20.42,Cheap
67,2729.07,16.91,Cheap
68,2389.74,11.06,Cheap
69,1543.37,12.27,Cheap
70,1047.4,8.68,Cheap
71,1511.15,9.57,Cheap
72,1488.98,4.9,Cheap
73,1532.29,7.58,Cheap
74,1060.75,6.78,Cheap
75,1932.03,15.79,Cheap
76,1722.69,15.41,Cheap
77,2867.84,23.2,Cheap
78,1701.03,7.55,Cheap
79,2840.39,14.16,Cheap
80,1062.34,1.0,Cheap
81,2072.03,11.86,Cheap
82,1674.04,14.42,Cheap
83,1682.93,10.34,Cheap
84,2716.41,20.61,Cheap
85,2540.02,18.21,Cheap
86,1093.36,9.53,Cheap
87,2533.5,18.41,Cheap
88,1566.44,13.02,Cheap
89,1290.19,7.47,Cheap
90,1831.11,12.15,Cheap
91,2334.26,17.89,Cheap
92,1889.82,9.99,Cheap
93,1463.92,14.51,Cheap
94,2471.01,17.73,Cheap
95,2470.57,14.58,Cheap
96,1096.76,11.82,Cheap
97,2712.99,17.62,Cheap
98,2396.04,13.54,Cheap
99,1744.36,11.4,Cheap
100,2267.56,20.46,Cheap
101,2676.47,22.57,Cheap
102,1182.94,11.78,Cheap
103,2220.65,20.74,Cheap
104,1668.99,10.32,Cheap
105,1131.55,1.89,Cheap
106,1924.81,10.9,Cheap
107,2726.73,12.96,Cheap
108,1639.15,14.16,Cheap
109,2832.36,16.25,Cheap
110,2277.35,21.79,Cheap
111,2248.57,14.88,Cheap
112,2874.93,18.72,Cheap
113,1319.04,14.73,Cheap
114,2770.09,24.5,Cheap
115,2763.13,17.63,Cheap
116,2498.4,19.77,Cheap
117,2206.21,13.05,Cheap
118,2583.55,17.88,Cheap
119,2578.02,25.16,Cheap
120,2414.38,19.6,Cheap
121,2264.37,12.26,Cheap
122,1230.88,6.18,Cheap
123,1613.45,6.04,Cheap
124,1185.46,6.28,Cheap
125,2385.96,16.54,Cheap
126,2242.78,10.93,Cheap
127,1529.96,8.64,Cheap
128,2729.19,21.8,Cheap
129,2525.86,18.22,Cheap
130,2852.85,19.93,Cheap
131,1760.56,9.23,Cheap
132,2026.45,14.95,Cheap
133,1154.86,11.87,Cheap
134,2872.18,21.26,Cheap
135,1687.12,13.72,Cheap
136,2154.23,12.53,Cheap
137,2025.48,13.56,Cheap
138,1695.38,9.98,Cheap
139,2649.0,17.26,Cheap
140,2135.54,18.61,Cheap
141,2616.07,21.54,Cheap
142,2166.45,16.26,Cheap
143,2868.01,18.25,Cheap
144,1742.08,16.93,Cheap
145,1261.63,8.78,Cheap
146,1061.24,9.7,Cheap
147,1769.77,9.05,Cheap
148,1635.35,6.02,Cheap
149,2894.93,15.79,Cheap
150,1842.27,15.96,Cheap
151,1482.46,13.81,Cheap
152,2205.24,16.07,Cheap
153,2052.99,8.86,Cheap
154,2488.37,16.14,Cheap
155,1076.25,7.15,Cheap
156,2296.49,19.34,Cheap
157,1777.07,15.34,Cheap
158,2679.65,18.21,Cheap
159,1307.53,10.83,Cheap
160,2275.05,18.23,Cheap
161,1865.51,10.03,Cheap
162,2274.37,15.47,Cheap
163,1456.96,7.45,Cheap
164,2614.87,18.78,Cheap
165,1247.82,4.81,Cheap
166,1088.78,6.49,Cheap
167,2555.45,20.1,Cheap
168,1935.89,11.7,Cheap
169,2003.48,10.57,Cheap
170,1702.05,7.83,Cheap
171,2940.4,18.6,Cheap
172,2243.81,16.94,Cheap
173,2329.53,17.17,Cheap
174,2537.6,15.16,Cheap
175,1375.02,8.86,Cheap
176,2812.38,16.13,Cheap
177,1371.39,8.18,Cheap
178,2998.26,22.77,Cheap
179,2615.82,16.57,Cheap
180,2223.28,13.84,Cheap
181,2877.39,20.82,Cheap
182,2163.27,12.99,Cheap
183,2134.22,19.05,Cheap
184,1534.48,11.01,Cheap
185,2383.34,14.77,Cheap
186,2472.27,16.68,Cheap
187,2195.09,16.46,Cheap
188,1578.74,16.76,Cheap
189,2783.94,18.49,Cheap
190,2542.61,17.58,Cheap
191,2744.41,15.07,Cheap
192,1537.48,10.7,Cheap
193,2804.2,18.41,Cheap
194,2079.07,10.27,Cheap
195,2477.7,16.19,Cheap
196,1905.24,16.56,Cheap
197,1674.4,9.8,Cheap
198,1720.92,12.49,Cheap
199,1096.28,1.86,Cheap
200,3522.86,42.19,Good
201,3425.63,44.41,Good
202,3708.63,44.9,Good
203,3652.66,48.27,Good
204,2901.27,32.72,Good
205,3412.61,40.37,Good
206,2677.57,21.51,Good
207,3485.91,42.27,Good
208,2518.63,24.33,Good
209,2773.85,24.32,Good
