,Matches,AverageGoals,Player
0,45.0,12.4,Good Player
1,53.0,13.1,Good Player
2,64.0,5.6,Bad Player
3,48.0,7.8,Good Player
4,52.0,2.4,Bad Player
5,58.0,10.2,Bad Player
6,52.0,8.2,Good Player
7,51.0,8.7,Good Player
8,54.0,6.2,Good Player
9,64.0,7.5,Bad Player
10,51.0,6.4,Good Player
11,59.0,1.9,Bad Player
12,57.0,9.6,Bad Player
13,63.0,4.0,Bad Player
14,56.0,7.0,Good Player
15,53.0,7.8,Good Player
16,60.0,6.9,Good Player
17,58.0,2.2,Bad Player
18,56.0,7.2,Good Player
19,66.0,6.6,Bad Player
20,52.0,12.8,Good Player
21,55.0,1.5,Bad Player
22,63.0,3.3,Bad Player
23,56.0,13.2,Good Player
24,55.0,6.7,Good Player
25,55.0,12.1,Good Player
26,64.0,8.3,Bad Player
27,63.0,6.1,Bad Player
28,56.0,8.9,Good Player
29,58.0,1.0,Bad Player
30,68.0,8.5,Bad Player
31,57.0,5.1,Good Player
32,61.0,10.8,Bad Player
33,48.0,13.9,Good Player
34,64.0,10.0,Bad Player
35,51.0,1.5,Bad Player
36,67.0,6.5,Bad Player
37,55.0,12.1,Good Player
38,53.0,7.5,Good Player
39,54.0,13.7,Good Player
40,53.0,13.4,Good Player
41,52.0,11.6,Good Player
42,54.0,11.9,Good Player
43,59.0,7.6,Good Player
44,66.0,5.9,Bad Player
45,63.0,2.1,Bad Player
46,62.0,3.9,Bad Player
47,63.0,6.1,Bad Player
48,52.0,11.6,Good Player
49,63.0,2.7,Bad Player
50,58.0,1.7,Bad Player
51,59.0,2.6,Bad Player
52,58.0,6.9,Good Player
53,45.0,11.0,Good Player
54,63.0,1.4,Bad Player
55,50.0,8.3,Good Player
56,54.0,1.5,Bad Player
57,68.0,7.9,Bad Player
58,57.0,5.2,Good Player
59,65.0,7.1,Bad Player
60,56.0,13.3,Good Player
61,51.0,9.8,Good Player
62,55.0,8.1,Bad Player
63,63.0,6.8,Bad Player
64,50.0,10.6,Good Player
65,68.0,5.9,Bad Player
66,50.0,10.8,Good Player
67,58.0,13.5,Good Player
68,54.0,6.7,Good Player
69,69.0,4.2,Bad Player
70,61.0,3.3,Bad Player
71,51.0,7.8,Good Player
72,57.0,3.3,Bad Player
73,54.0,10.0,Bad Player
74,55.0,13.4,Good Player
75,64.0,10.3,Bad Player
76,63.0,8.5,Bad Player
77,62.0,5.1,Bad Player
78,56.0,8.8,Bad Player
79,62.0,4.3,Bad Player
80,51.0,12.8,Good Player
81,61.0,15.8,Good Player
82,48.0,10.2,Good Player
83,62.0,4.6,Bad Player
84,68.0,4.9,Bad Player
85,63.0,8.1,Bad Player
86,62.0,5.4,Bad Player
87,51.0,11.8,Good Player
88,57.0,13.5,Good Player
89,61.0,14.7,Good Player
90,54.0,8.8,Good Player
91,66.0,8.7,Bad Player
92,60.0,7.5,Bad Player
93,68.0,4.7,Bad Player
94,51.0,6.8,Good Player
95,62.0,15.9,Good Player
96,48.0,10.7,Good Player
97,54.0,11.6,Good Player
98,67.0,7.4,Bad Player
99,57.0,1.3,Bad Player
100,62.0,7.0,Bad Player
101,64.0,6.4,Bad Player
102,51.0,9.2,Good Player
103,59.0,6.6,Good Player
104,59.0,1.5,Bad Player
105,49.0,8.3,Good Player
106,53.0,9.8,Good Player
107,50.0,7.8,Good Player
108,66.0,4.8,Bad Player
109,65.0,4.2,Bad Player
110,59.0,12.5,Good Player
111,71.0,7.2,Bad Player
112,67.0,5.1,Bad Player
113,52.0,5.6,Good Player
114,59.0,2.9,Bad Player
115,52.0,6.5,Good Player
116,60.0,14.0,Good Player
117,49.0,7.4,Good Player
118,50.0,8.9,Good Player
119,50.0,9.7,Good Player
120,65.0,5.4,Bad Player
121,55.0,5.7,Good Player
122,53.0,6.5,Good Player
123,66.0,7.3,Bad Player
124,60.0,8.0,Bad Player
125,48.0,8.0,Good Player
126,50.0,7.1,Good Player
127,57.0,5.8,Good Player
128,60.0,7.4,Bad Player
129,57.0,6.4,Good Player
130,51.0,15.2,Good Player
131,52.0,8.5,Good Player
132,53.0,12.0,Good Player
133,53.0,6.6,Good Player
134,60.0,3.1,Bad Player
135,62.0,6.9,Good Player
136,52.0,11.5,Good Player
137,57.0,8.8,Bad Player
138,64.0,4.9,Bad Player
139,54.0,14.8,Good Player
140,62.0,9.1,Bad Player
141,48.0,8.9,Good Player
142,51.0,7.7,Good Player
143,51.0,15.2,Good Player
144,55.0,1.7,Bad Player
145,53.0,8.1,Good Player
146,56.0,5.7,Good Player
147,58.0,6.9,Good Player
148,55.0,11.8,Good Player
149,61.0,2.7,Bad Player
150,55.0,9.7,Bad Player
151,55.0,9.4,Good Player
152,52.0,10.9,Bad Player
153,61.0,11.0,Bad Player
154,62.0,2.2,Bad Player
155,54.0,9.9,Bad Player
156,62.0,8.1,Bad Player
157,66.0,1.7,Bad Player
158,59.0,5.7,Bad Player
159,65.0,2.2,Bad Player
160,62.0,10.8,Bad Player
161,53.0,15.9,Good Player
162,50.0,9.0,Good Player
163,54.0,7.4,Good Player
164,62.0,8.8,Bad Player
165,64.0,5.6,Bad Player
166,50.0,10.6,Good Player
167,58.0,4.0,Bad Player
168,55.0,2.2,Bad Player
169,63.0,6.0,Bad Player
170,65.0,2.8,Bad Player
171,60.0,2.2,Bad Player
172,58.0,10.5,Bad Player
173,62.0,2.3,Bad Player
174,59.0,1.9,Bad Player
175,66.0,2.9,Bad Player
176,63.0,9.2,Bad Player
177,62.0,3.5,Bad Player
178,51.0,9.8,Good Player
179,61.0,3.9,Bad Player
180,59.0,11.8,Bad Player
181,50.0,8.9,Good Player
