,Age,Rating,Value
0,6.9,77.2,GOOD
1,4.5,49.76,GOOD
2,4.5,48.92,GOOD
3,3.4,56.5,GOOD
4,6.4,55.2,GOOD
5,1.6,32.42,GOOD
6,5.7,67.4,GOOD
7,1.9,21.24,GOOD
8,1.3,15.17,GOOD
9,2.0,27.33,GOOD
10,4.6,53.69,GOOD
11,3.9,42.69,GOOD
12,2.0,27.14,GOOD
13,3.4,40.9,GOOD
14,5.1,60.19,GOOD
15,5.0,46.8,GOOD
16,3.0,43.81,GOOD
17,6.2,66.01,GOOD
18,4.6,45.14,GOOD
19,4.7,55.5,GOOD
20,4.1,55.47,GOOD
21,6.4,66.84,GOOD
22,2.8,32.79,GOOD
23,5.0,50.65,GOOD
24,5.2,56.98,GOOD
25,1.3,32.26,GOOD
26,4.3,59.4,GOOD
27,6.4,81.04,GOOD
28,3.9,50.09,GOOD
29,2.6,43.77,GOOD
30,1.2,18.91,GOOD
31,1.6,30.62,GOOD
32,3.0,41.99,GOOD
33,2.5,46.76,GOOD
34,5.4,58.48,GOOD
35,5.8,56.57,GOOD
36,5.7,65.77,GOOD
37,4.0,49.27,GOOD
38,4.4,52.07,GOOD
39,6.9,77.86,GOOD
40,3.9,48.75,GOOD
41,3.2,38.54,GOOD
42,3.5,43.8,GOOD
43,2.3,39.41,GOOD
44,6.0,64.56,GOOD
45,3.0,36.47,GOOD
46,6.7,72.1,GOOD
47,5.8,60.93,GOOD
48,1.5,25.37,GOOD
49,6.1,62.6,GOOD
50,6.0,61.66,GOOD
51,6.6,68.7,GOOD
52,1.1,19.94,GOOD
53,2.4,34.82,GOOD
54,4.1,45.05,GOOD
55,3.8,49.79,GOOD
56,4.0,41.19,GOOD
57,6.1,60.84,GOOD
58,6.3,62.4,GOOD
59,6.6,63.5,GOOD
60,1.2,21.11,GOOD
61,4.3,52.66,GOOD
62,2.8,48.36,GOOD
63,3.5,51.14,GOOD
64,4.6,49.05,GOOD
65,1.9,36.48,GOOD
66,2.3,38.22,GOOD
67,7.0,88.37,GOOD
68,4.6,56.1,GOOD
69,2.6,28.93,GOOD
70,1.0,23.35,GOOD
71,4.0,51.94,GOOD
72,3.1,45.61,GOOD
73,2.3,16.67,GOOD
74,2.4,39.18,GOOD
75,1.8,30.78,GOOD
76,2.3,29.0,GOOD
77,6.9,79.57,GOOD
78,5.7,56.52,GOOD
79,6.3,75.85,GOOD
80,4.5,55.33,GOOD
81,6.6,65.88,GOOD
82,6.5,71.28,GOOD
83,2.2,29.64,GOOD
84,2.6,32.17,GOOD
85,6.2,69.39,GOOD
86,5.2,52.05,GOOD
87,5.9,55.4,GOOD
88,5.0,58.81,GOOD
89,3.3,42.81,GOOD
90,6.5,69.31,GOOD
91,3.3,39.49,GOOD
92,3.8,46.93,GOOD
93,1.2,25.81,GOOD
94,6.8,68.85,GOOD
95,3.9,38.98,GOOD
96,2.0,38.13,GOOD
97,2.9,25.71,GOOD
98,6.5,73.34,GOOD
99,1.5,31.83,GOOD
100,9.2,23.01,BAD
101,9.7,24.68,BAD
102,10.9,11.88,BAD
103,9.8,33.1,BAD
104,9.1,35.54,BAD
105,10.4,16.3,BAD
106,5.5,66.23,BAD
107,8.8,38.99,BAD
108,5.9,68.53,BAD
109,8.2,41.6,BAD
110,9.0,43.86,BAD
111,10.9,21.97,BAD
112,9.2,38.21,BAD
113,10.1,21.5,BAD
114,9.5,30.41,BAD
115,8.2,38.07,BAD
116,10.3,24.81,BAD
117,7.6,48.32,BAD
118,5.0,70.48,BAD
119,5.0,77.52,BAD
120,6.7,59.75,BAD
121,10.0,43.91,BAD
122,6.8,61.71,BAD
123,8.5,40.56,BAD
124,10.7,23.12,BAD
125,6.3,59.22,BAD
126,8.7,38.58,BAD
127,5.2,76.89,BAD
128,9.6,31.26,BAD
129,8.6,35.69,BAD
130,5.4,74.47,BAD
131,6.8,66.36,BAD
132,6.7,56.79,BAD
133,7.2,51.61,BAD
134,5.5,78.86,BAD
135,8.2,53.8,BAD
136,4.5,83.94,BAD
137,8.3,39.79,BAD
138,7.4,43.35,BAD
139,7.3,56.51,BAD
140,7.5,53.27,BAD
141,7.3,45.32,BAD
142,7.6,43.29,BAD
143,7.2,52.68,BAD
144,5.8,72.53,BAD
145,4.5,82.44,BAD
146,10.0,35.82,BAD
147,5.6,69.81,BAD
148,6.4,61.43,BAD
149,9.0,37.31,BAD
150,5.5,72.84,BAD
151,6.9,59.15,BAD
152,8.6,45.65,BAD
153,10.3,27.68,BAD
154,10.1,34.93,BAD
155,5.0,72.29,BAD
156,5.2,73.72,BAD
157,9.6,31.93,BAD
158,6.8,68.66,BAD
159,8.4,38.64,BAD
160,5.7,70.35,BAD
161,6.6,58.73,BAD
162,5.6,73.23,BAD
163,8.3,53.9,BAD
164,4.8,76.11,BAD
165,10.7,15.73,BAD
166,7.5,51.71,BAD
167,6.2,69.16,BAD
168,6.4,61.34,BAD
169,7.5,62.1,BAD
170,6.0,63.16,BAD
171,7.8,67.55,BAD
172,8.1,50.52,BAD
173,8.4,47.94,BAD
174,8.7,47.74,BAD
175,10.2,26.05,BAD
176,8.5,48.54,BAD
177,5.2,76.98,BAD
178,4.7,66.49,BAD
179,10.5,30.92,BAD
180,10.6,24.41,BAD
181,7.5,51.17,BAD
182,9.8,29.0,BAD
183,9.6,39.78,BAD
184,5.7,61.82,BAD
185,9.8,29.03,BAD
186,8.9,34.38,BAD
187,6.9,53.4,BAD
188,6.8,52.37,BAD
189,8.7,48.1,BAD
190,6.3,65.79,BAD
191,10.3,17.0,BAD
192,6.1,72.39,BAD
193,5.9,67.72,BAD
194,7.5,48.17,BAD
195,10.7,30.43,BAD
196,8.3,45.15,BAD
197,10.2,23.63,BAD
198,5.1,75.74,BAD
199,8.3,44.03,BAD
