,MaxSpeed,Mass,Type
0,259.1,3960.47,CityCar
1,184.23,1852.52,CityCar
2,237.08,4298.84,CityCar
3,178.55,3616.27,CityCar
4,153.73,2440.61,CityCar
5,75.51,3343.42,CityCar
6,228.25,3126.54,CityCar
7,238.25,3319.04,CityCar
8,95.93,4219.87,CityCar
9,214.63,4228.89,CityCar
10,164.55,2724.97,CityCar
11,153.82,1634.82,CityCar
12,101.87,4414.5,CityCar
13,141.11,4179.57,CityCar
14,99.7,1628.95,CityCar
15,244.59,2465.79,CityCar
16,61.38,2998.23,CityCar
17,134.24,3959.51,CityCar
18,71.47,2793.23,CityCar
19,68.84,1852.77,CityCar
20,135.2,3124.2,CityCar
21,79.83,3717.85,CityCar
22,247.35,2590.66,CityCar
23,236.97,1567.33,CityCar
24,260.73,2925.05,CityCar
25,124.88,1903.88,CityCar
26,117.24,3322.12,CityCar
27,67.71,3430.88,CityCar
28,166.07,3594.47,CityCar
29,131.94,2921.01,CityCar
30,121.35,3662.79,CityCar
31,266.78,3389.29,CityCar
32,95.38,3381.98,CityCar
33,154.7,3628.34,CityCar
34,268.94,1975.09,CityCar
35,114.82,3340.67,CityCar
36,235.11,1842.42,CityCar
37,95.16,3683.7,CityCar
38,193.38,2883.94,CityCar
39,258.03,2789.57,CityCar
40,238.83,2761.48,CityCar
41,79.36,4332.61,CityCar
42,178.3,1986.29,CityCar
43,160.23,3555.89,CityCar
44,120.53,1511.9,CityCar
45,133.05,3681.4,CityCar
46,249.94,1948.37,CityCar
47,109.12,3613.75,CityCar
48,155.08,2639.73,CityCar
49,191.75,2746.18,CityCar
50,147.0,2152.56,CityCar
51,71.62,2887.63,CityCar
52,62.69,4486.05,CityCar
53,78.84,2921.66,CityCar
54,150.16,4025.67,CityCar
55,227.63,4130.63,CityCar
56,229.46,1910.37,CityCar
57,155.91,1977.11,CityCar
58,260.83,4246.2,CityCar
59,197.61,2582.35,CityCar
60,78.53,2807.02,CityCar
61,87.25,2820.65,CityCar
62,235.66,2679.36,CityCar
63,186.52,4145.23,CityCar
64,200.32,2807.04,CityCar
65,108.42,3625.96,CityCar
66,110.02,2753.9,CityCar
67,155.67,2917.68,CityCar
68,136.0,2845.02,CityCar
69,231.68,2081.52,CityCar
70,135.61,4331.92,CityCar
71,150.69,2353.83,CityCar
72,229.07,3724.51,CityCar
73,109.07,4019.7,CityCar
74,252.35,3415.33,CityCar
75,197.01,2969.77,CityCar
76,61.75,2556.05,CityCar
77,87.01,4060.0,CityCar
78,136.92,1784.03,CityCar
79,97.72,2497.54,CityCar
80,176.24,1987.03,CityCar
81,122.21,3440.46,CityCar
82,107.59,2943.26,CityCar
83,202.54,1890.25,CityCar
84,148.22,1986.48,CityCar
85,205.04,3121.74,CityCar
86,262.09,2570.91,CityCar
87,229.91,3192.15,CityCar
88,124.29,2667.8,CityCar
89,134.31,3900.83,CityCar
90,236.3,2646.56,CityCar
91,165.12,3631.22,CityCar
92,106.33,2436.19,CityCar
93,61.12,1749.77,CityCar
94,190.98,2440.36,CityCar
95,202.53,1975.08,CityCar
96,139.17,3464.89,CityCar
97,206.05,3910.77,CityCar
98,267.04,3105.97,CityCar
99,262.18,3337.46,CityCar
100,165.89,2807.77,CityCar
101,169.15,2486.04,CityCar
102,241.65,2419.47,CityCar
103,168.63,2397.23,CityCar
104,268.43,1707.59,CityCar
105,172.48,2790.62,CityCar
106,144.79,2855.51,CityCar
107,237.06,3760.47,CityCar
108,106.85,2746.88,CityCar
109,232.46,3147.49,CityCar
110,226.52,2571.23,CityCar
111,90.18,4026.92,CityCar
112,119.5,3489.31,CityCar
113,244.14,2709.2,CityCar
114,206.88,2771.74,CityCar
115,200.33,3593.85,CityCar
116,198.14,3978.91,CityCar
117,174.59,3824.06,CityCar
118,123.08,3754.73,CityCar
119,136.2,3695.57,CityCar
120,202.92,2645.74,CityCar
121,90.44,4007.88,CityCar
122,128.38,3712.51,CityCar
123,160.99,2780.66,CityCar
124,112.77,1735.56,CityCar
125,144.21,2770.66,CityCar
126,205.71,1721.08,CityCar
127,241.9,2819.09,CityCar
128,247.19,2554.32,CityCar
129,124.49,1805.08,CityCar
130,269.71,1527.52,CityCar
131,156.36,3000.36,CityCar
132,116.91,3706.54,CityCar
133,221.52,4453.98,CityCar
134,230.22,3386.51,CityCar
135,172.35,2045.39,CityCar
136,90.72,1856.04,CityCar
137,169.02,1584.47,CityCar
138,92.46,3079.17,CityCar
139,75.17,2534.23,CityCar
140,83.13,1924.01,CityCar
141,175.49,1616.26,CityCar
142,161.77,2418.58,CityCar
143,78.6,1838.79,CityCar
144,84.86,2615.24,CityCar
145,251.56,1885.26,CityCar
146,241.12,2251.98,CityCar
147,210.7,2111.19,CityCar
148,78.4,1567.48,CityCar
149,153.63,3805.13,CityCar
150,419.82,1549.95,SportCar
151,393.86,2534.25,SportCar
152,430.2,3270.52,SportCar
153,395.17,3210.9,SportCar
154,340.91,3217.61,SportCar
155,445.47,3477.4,SportCar
156,319.88,4619.28,SportCar
157,375.41,3318.01,SportCar
158,261.21,3345.09,SportCar
159,432.95,3956.14,SportCar
160,306.93,2850.76,SportCar
161,435.35,3852.6,SportCar
162,273.85,3885.43,SportCar
163,307.9,3512.03,SportCar
164,303.87,1972.06,SportCar
165,410.86,4544.21,SportCar
166,296.03,3151.32,SportCar
167,274.15,3407.32,SportCar
168,385.13,2958.25,SportCar
169,426.19,3983.44,SportCar
170,305.55,1717.96,SportCar
171,286.27,4470.8,SportCar
172,291.23,4135.69,SportCar
173,272.28,2208.92,SportCar
174,343.85,1875.52,SportCar
175,307.28,2902.17,SportCar
176,407.86,3533.33,SportCar
177,324.74,4112.58,SportCar
178,429.53,1677.14,SportCar
179,398.24,4564.45,SportCar
180,352.27,3927.89,SportCar
181,372.97,3510.66,SportCar
182,327.7,4091.72,SportCar
183,304.95,2423.27,SportCar
184,386.12,3589.42,SportCar
185,403.08,3273.1,SportCar
186,301.1,3360.19,SportCar
187,342.77,2590.3,SportCar
188,305.91,2806.43,SportCar
189,337.43,3760.43,SportCar
190,275.38,2489.24,SportCar
191,306.49,3808.35,SportCar
192,395.09,2169.36,SportCar
193,432.93,2760.93,SportCar
194,444.0,4390.75,SportCar
195,301.19,1850.16,SportCar
196,440.56,3003.54,SportCar
197,400.22,2763.42,SportCar
198,330.83,4575.29,SportCar
199,386.52,2931.59,SportCar
200,353.48,2991.35,SportCar
201,317.31,3868.84,SportCar
202,439.4,2135.34,SportCar
203,381.77,3194.31,SportCar
204,357.15,3602.12,SportCar
205,386.85,2218.76,SportCar
206,281.04,3020.51,SportCar
207,431.13,3626.57,SportCar
208,276.09,3369.37,SportCar
209,395.97,3816.39,SportCar
210,261.83,4203.03,SportCar
211,281.9,2599.33,SportCar
212,333.79,2909.09,SportCar
213,396.45,4647.75,SportCar
214,268.25,2347.89,SportCar
215,349.73,3698.38,SportCar
216,359.14,3158.73,SportCar
217,415.49,4171.39,SportCar
218,369.8,2477.31,SportCar
219,405.05,4606.1,SportCar
220,297.35,2447.33,SportCar
221,315.56,4495.69,SportCar
222,284.07,4100.66,SportCar
223,344.4,2527.37,SportCar
224,447.34,3867.4,SportCar
225,266.1,2780.94,SportCar
226,350.28,2888.77,SportCar
227,371.64,3750.47,SportCar
228,354.19,4306.91,SportCar
229,434.42,1602.51,SportCar
230,398.74,4548.07,SportCar
231,355.11,2525.95,SportCar
232,270.25,2775.73,SportCar
233,268.08,2099.42,SportCar
234,371.39,2973.53,SportCar
235,382.3,1726.58,SportCar
236,262.38,4225.62,SportCar
237,264.47,4462.31,SportCar
238,449.71,3369.12,SportCar
239,274.84,2880.82,SportCar
240,394.58,2445.88,SportCar
241,369.53,3479.28,SportCar
242,414.13,3708.55,SportCar
243,362.6,3024.93,SportCar
244,275.38,4364.9,SportCar
245,394.65,2150.86,SportCar
246,435.58,3743.75,SportCar
247,296.19,2984.97,SportCar
248,401.03,2328.68,SportCar
249,444.95,3776.47,SportCar
250,275.65,4373.25,SportCar
251,297.38,4639.23,SportCar
252,306.47,1719.76,SportCar
253,451.05,3827.65,SportCar
254,367.39,2260.12,SportCar
255,366.66,4167.61,SportCar
256,323.43,2838.29,SportCar
257,438.02,2415.24,SportCar
258,332.59,3397.09,SportCar
259,450.66,3341.98,SportCar
260,288.52,3894.35,SportCar
261,392.58,2161.82,SportCar
262,311.7,1966.74,SportCar
263,293.39,3592.19,SportCar
264,445.07,2029.98,SportCar
265,419.55,2379.73,SportCar
266,430.41,4272.95,SportCar
267,389.54,1704.39,SportCar
268,373.84,4486.13,SportCar
269,371.91,3297.93,SportCar
270,396.68,1967.78,SportCar
271,361.69,2841.83,SportCar
272,373.76,2228.77,SportCar
273,347.53,1661.11,SportCar
274,329.71,4347.02,SportCar
275,316.55,3077.53,SportCar
276,422.8,1652.55,SportCar
277,333.46,2095.81,SportCar
278,406.86,3276.75,SportCar
279,270.16,1544.06,SportCar
280,261.85,3576.89,SportCar
281,289.8,1503.54,SportCar
282,262.76,4168.31,SportCar
283,397.19,3822.78,SportCar
284,334.43,2178.01,SportCar
285,354.68,3913.87,SportCar
286,291.05,2913.15,SportCar
287,350.15,2482.37,SportCar
288,432.12,4419.61,SportCar
289,375.88,2498.35,SportCar
290,381.46,2593.04,SportCar
291,320.64,3901.77,SportCar
292,393.15,2486.45,SportCar
293,296.45,4602.69,SportCar
294,423.66,3947.59,SportCar
295,313.98,3160.04,SportCar
296,393.6,3558.54,SportCar
297,380.59,2411.56,SportCar
298,374.07,1957.35,SportCar
299,342.26,3440.67,SportCar
300,122.95,5620.64,Truck
301,116.9,6742.16,Truck
302,121.86,4850.46,Truck
303,209.28,4991.47,Truck
304,179.38,5542.98,Truck
305,98.71,5760.66,Truck
306,192.2,5998.97,Truck
307,202.99,5911.21,Truck
308,222.99,5542.41,Truck
309,104.73,6413.14,Truck
310,65.55,5479.6,Truck
311,208.23,7131.77,Truck
312,191.02,5351.25,Truck
313,79.04,4457.77,Truck
314,169.18,7450.43,Truck
315,159.62,5153.68,Truck
316,96.56,5850.18,Truck
317,225.16,7166.17,Truck
318,221.37,6840.68,Truck
319,111.58,4836.21,Truck
320,244.4,5790.79,Truck
321,255.77,7457.37,Truck
322,129.11,6062.7,Truck
323,91.91,5148.7,Truck
324,230.65,5996.01,Truck
325,259.83,4801.74,Truck
326,211.58,6600.7,Truck
327,243.15,4744.13,Truck
328,104.47,5004.82,Truck
329,121.66,5126.88,Truck
330,91.63,5752.32,Truck
331,142.92,4609.63,Truck
332,194.04,6177.44,Truck
333,105.16,6574.34,Truck
334,146.43,6809.06,Truck
335,126.65,6551.13,Truck
336,170.84,7100.89,Truck
337,166.0,5525.48,Truck
338,106.63,4740.8,Truck
339,175.98,5883.42,Truck
340,104.44,7145.17,Truck
341,139.33,6727.51,Truck
342,211.15,5827.86,Truck
343,153.36,6173.5,Truck
344,163.66,6203.69,Truck
345,65.84,7416.51,Truck
346,259.87,4926.0,Truck
347,246.69,5464.47,Truck
348,151.87,7193.24,Truck
349,194.66,4471.95,Truck
350,173.18,5812.93,Truck
351,65.85,4598.36,Truck
352,145.21,5426.09,Truck
353,109.94,7210.3,Truck
354,101.41,7389.23,Truck
355,157.84,7379.84,Truck
356,229.76,7281.01,Truck
357,98.03,7022.55,Truck
358,90.75,6690.34,Truck
359,142.52,6612.47,Truck
360,166.52,6911.25,Truck
361,85.36,4912.42,Truck
362,159.44,5560.23,Truck
363,127.59,5583.81,Truck
364,153.9,6622.63,Truck
365,113.26,5022.16,Truck
366,86.52,7201.77,Truck
367,106.27,4703.72,Truck
368,70.81,7358.33,Truck
369,115.07,4502.11,Truck
370,141.17,4447.33,Truck
371,144.58,5945.49,Truck
372,192.36,4938.11,Truck
373,258.79,7154.1,Truck
374,175.93,4953.69,Truck
375,68.53,6696.01,Truck
376,126.61,5005.83,Truck
377,213.78,6831.41,Truck
378,184.68,5361.32,Truck
379,179.97,7260.61,Truck
380,90.38,5796.12,Truck
381,111.11,4570.82,Truck
382,188.87,6227.84,Truck
383,241.83,6009.48,Truck
384,137.4,6644.18,Truck
385,103.5,6513.87,Truck
386,171.12,4607.68,Truck
