,Expirience,Rating,Status
0,4.0,1.3,Decline
1,3.6,0.62,Decline
2,3.1,2.92,Decline
3,1.9,1.33,Decline
4,4.1,1.2,Decline
5,5.0,2.63,Decline
6,5.4,0.55,Decline
7,3.4,2.74,Decline
8,2.2,1.34,Decline
9,4.5,1.79,Decline
10,2.9,1.23,Decline
11,3.8,2.45,Decline
12,1.2,2.4,Decline
13,1.2,1.48,Decline
14,3.4,1.7,Decline
15,5.8,1.91,Decline
16,2.1,1.59,Decline
17,2.1,2.01,Decline
18,5.1,2.76,Decline
19,3.3,2.26,Decline
20,4.3,2.76,Decline
21,1.5,2.71,Decline
22,3.8,2.62,Decline
23,3.6,2.01,Decline
24,0.4,1.68,Decline
25,5.0,0.82,Decline
26,3.5,2.49,Decline
27,4.2,2.2,Decline
28,1.3,2.41,Decline
29,2.1,2.78,Decline
30,3.7,1.1,Decline
31,2.5,2.03,Decline
32,3.3,0.77,Decline
33,4.4,1.25,Decline
34,1.1,1.94,Decline
35,2.3,0.52,Decline
36,2.6,1.6,Decline
37,3.2,0.71,Decline
38,1.9,1.29,Decline
39,4.2,2.01,Decline
40,3.7,2.99,Decline
41,3.3,2.56,Decline
42,3.1,1.12,Decline
43,0.4,2.8,Decline
44,4.1,2.86,Decline
45,3.8,1.92,Decline
46,3.9,2.9,Decline
47,3.3,1.38,Decline
48,4.5,1.14,Decline
49,4.0,1.32,Decline
50,3.6,1.01,Decline
51,2.6,1.99,Decline
52,3.9,1.82,Decline
53,4.4,2.8,Decline
54,2.4,1.28,Decline
55,4.2,2.62,Decline
56,1.2,2.02,Decline
57,4.9,0.82,Decline
58,2.7,0.58,Decline
59,4.7,0.69,Decline
60,4.6,1.93,Decline
61,4.0,1.08,Decline
62,1.1,2.29,Decline
63,5.2,1.4,Decline
64,5.0,1.01,Decline
65,3.5,0.84,Decline
66,2.9,0.74,Decline
67,4.0,1.03,Decline
68,2.3,1.51,Decline
69,4.2,2.14,Decline
70,3.1,1.1,Decline
71,3.7,2.92,Decline
72,4.3,1.22,Decline
73,3.9,1.71,Decline
74,2.9,2.52,Decline
75,4.5,0.71,Decline
76,2.7,0.69,Decline
77,3.4,2.99,Decline
78,2.9,2.89,Decline
79,3.8,1.99,Decline
80,3.5,0.68,Decline
81,2.8,2.49,Decline
82,3.6,1.21,Decline
83,3.6,2.47,Decline
84,2.7,2.39,Decline
85,2.7,2.79,Decline
86,4.4,2.11,Decline
87,2.4,0.77,Decline
88,3.2,2.32,Decline
89,3.5,2.78,Decline
90,3.0,0.71,Decline
91,2.9,0.76,Decline
92,2.1,2.77,Decline
93,4.3,1.61,Decline
94,3.7,1.36,Decline
95,3.3,1.8,Decline
96,2.4,1.02,Decline
97,2.2,1.9,Decline
98,2.8,0.57,Decline
99,2.5,2.43,Decline
100,9.9,2.57,Hire
101,9.9,3.88,Hire
102,7.9,3.39,Hire
103,11.6,4.78,Hire
104,9.9,3.5,Hire
105,10.9,3.89,Hire
106,12.1,4.76,Hire
107,12.0,4.24,Hire
108,9.7,2.84,Hire
109,10.0,3.54,Hire
110,10.3,4.26,Hire
111,12.7,2.63,Hire
112,8.5,4.98,Hire
