,Power,MaxSpeed
0,238.26,209.08
1,259.27,312.22
2,233.45,277.0
3,237.04,311.72
4,279.28,326.99
5,317.44,145.98
6,245.59,327.19
7,252.08,160.81
8,373.53,226.63
9,314.41,349.99
10,372.51,298.21
11,350.83,152.54
12,290.64,274.26
13,259.0,329.21
14,371.84,274.24
15,329.92,165.45
16,266.43,168.48
17,287.95,228.66
18,339.47,343.88
19,368.44,312.41
20,278.24,149.65
21,370.1,170.5
22,288.68,174.78
23,230.65,279.04
24,316.64,340.48
25,367.77,206.4
26,338.94,163.75
27,314.73,247.89
28,263.97,175.03
29,349.01,156.04
30,313.27,363.59
31,335.26,319.29
32,238.22,280.22
33,217.85,270.66
34,287.73,141.84
35,240.48,213.74
36,229.84,309.92
37,291.27,252.39
38,361.31,200.52
39,341.94,327.08
40,262.66,303.61
41,228.64,206.4
42,357.07,308.98
43,279.61,162.03
44,344.73,164.47
45,238.08,274.78
46,235.92,219.34
47,356.54,324.11
48,322.43,157.41
49,377.47,290.33
50,379.89,278.97
51,382.46,297.23
52,314.96,268.6
53,372.66,275.39
54,367.66,277.53
55,356.34,303.07
56,370.62,187.68
57,217.75,282.06
58,282.76,361.8
59,315.19,141.26
60,317.4,143.58
61,348.3,178.67
62,296.66,144.16
63,227.87,270.5
64,226.76,201.39
65,233.21,201.36
66,328.99,334.89
67,281.86,161.92
68,332.41,142.33
69,259.81,344.66
70,279.28,259.88
71,309.19,249.64
72,315.93,243.82
73,379.16,290.37
74,219.42,306.62
75,356.64,316.17
76,262.28,340.43
77,332.05,164.21
78,282.88,334.42
79,314.91,151.37
80,288.74,258.74
81,323.57,157.75
82,297.07,145.64
83,365.37,292.0
84,343.02,166.32
85,312.48,142.99
86,319.6,133.26
87,347.01,317.4
88,373.62,203.38
89,300.98,369.87
90,358.86,185.62
91,283.1,344.48
92,378.96,275.58
93,250.68,298.49
94,234.56,208.09
95,314.27,228.66
96,291.24,162.35
97,257.51,151.22
98,259.63,333.68
99,343.55,160.74
100,311.5,235.82
101,367.1,206.78
102,225.42,218.89
103,288.77,147.46
104,283.03,152.66
105,240.51,314.85
106,373.44,207.3
107,316.57,360.87
108,281.32,262.24
109,268.61,255.42
110,376.77,209.92
111,331.16,295.23
112,326.92,358.42
113,224.7,285.56
114,265.53,157.89
115,324.05,333.23
116,260.5,157.68
117,316.1,265.72
118,341.76,341.71
119,312.14,247.65
120,214.48,275.16
121,241.42,322.48
122,245.22,311.86
123,248.91,298.34
124,278.17,336.66
125,231.33,293.7
126,311.21,336.73
127,310.5,352.64
128,245.24,305.83
129,311.41,243.41
130,305.03,334.76
131,319.39,366.75
132,277.55,248.2
133,368.23,295.47
134,231.51,200.29
135,241.19,185.29
136,383.78,278.27
137,338.13,333.99
138,286.31,138.05
139,291.1,262.9
140,352.28,199.6
141,234.4,309.02
142,365.52,179.21
143,361.84,186.4
144,226.16,215.05
145,319.81,257.61
146,265.32,342.78
147,287.25,146.11
148,364.15,184.19
149,218.7,202.49
150,368.29,173.03
151,283.94,129.76
152,301.77,351.65
153,376.58,211.98
154,236.99,311.01
155,241.29,278.1
156,235.19,169.01
157,261.66,332.73
158,371.54,311.42
159,289.27,269.96
160,282.53,255.42
161,245.6,183.85
162,252.79,321.38
163,299.22,352.35
164,352.4,282.58
165,305.88,155.69
166,264.71,179.63
167,313.37,343.97
168,277.93,339.35
169,234.55,222.27
170,264.08,172.3
171,298.73,342.67
172,275.06,248.8
173,333.79,271.59
174,359.02,293.43
175,316.01,169.99
176,278.81,344.72
177,357.52,155.07
178,281.16,346.62
179,221.87,304.8
180,236.93,197.87
181,275.6,228.96
182,225.02,215.12
183,351.0,185.36
184,369.47,219.62
185,310.44,332.75
186,325.24,166.5
187,361.98,203.84
188,261.62,166.59
189,307.82,154.29
190,313.9,260.52
191,251.41,345.2
192,327.71,148.96
193,317.33,250.64
194,215.12,222.13
195,257.69,322.49
196,286.66,161.26
197,252.48,189.86
198,334.24,258.68
199,328.36,347.6
200,221.17,307.19
201,264.71,176.22
202,236.91,206.81
203,314.72,332.0
204,253.71,259.09
205,241.44,187.46
206,262.79,146.97
207,313.78,152.78
208,261.37,348.32
209,321.58,348.84
210,240.29,195.54
211,275.21,150.29
212,298.1,365.42
213,281.47,321.54
214,277.75,266.41
215,309.96,273.24
216,365.11,210.25
217,340.13,334.78
218,272.94,139.34
219,278.1,135.33
220,383.11,298.88
221,236.48,298.9
222,277.69,179.7
223,322.51,345.67
224,249.32,146.91
225,332.23,350.48
226,259.73,166.52
227,329.66,341.25
228,241.74,317.36
229,308.84,225.03
230,318.18,231.03
231,315.05,124.39
232,356.66,199.28
233,303.79,342.72
234,366.86,198.67
235,233.46,271.07
236,343.12,343.53
237,351.59,328.67
238,274.54,331.71
239,319.93,267.29
240,359.85,216.34
241,287.27,234.97
242,218.22,209.76
243,293.44,360.25
244,255.23,197.34
245,334.49,147.06
246,286.25,273.46
247,361.5,208.55
248,382.7,282.1
249,235.36,304.56
250,311.68,231.07
251,306.62,154.31
252,313.74,346.68
253,322.52,241.0
254,367.92,276.84
255,273.15,217.2
256,290.75,313.56
257,304.96,339.15
258,374.15,304.8
259,256.91,174.8
260,327.6,148.57
261,264.65,163.19
262,230.14,221.49
263,290.85,283.52
264,283.71,151.68
265,374.56,278.97
266,322.93,245.92
267,375.27,218.69
268,361.44,179.86
269,317.35,212.13
270,265.55,330.22
271,225.23,205.59
272,237.18,193.54
273,347.87,304.41
274,313.55,251.68
275,241.03,284.69
276,364.06,188.21
277,356.15,316.47
278,325.19,328.09
279,256.71,174.48
280,302.62,359.46
281,375.14,226.15
282,291.86,333.38
283,302.42,151.48
284,360.13,207.86
285,350.72,176.19
286,314.11,346.11
287,284.91,266.51
288,262.34,163.69
289,325.25,146.26
290,285.64,343.23
291,240.17,313.22
292,242.42,218.65
293,270.88,191.92
294,250.04,322.72
295,234.66,165.4
296,268.34,343.42
297,356.92,210.35
298,317.97,252.37
299,320.35,146.26
300,256.0,337.52
301,228.5,218.68
302,289.51,228.03
303,307.81,366.05
304,330.42,342.52
305,311.91,276.16
306,306.66,354.38
307,225.75,283.4
308,262.46,314.5
309,230.32,307.02
310,342.92,328.23
311,282.81,222.46
312,248.09,190.65
313,366.56,212.24
314,275.26,158.03
315,316.03,231.32
316,359.93,358.29
317,291.62,260.46
318,284.9,254.11
319,360.58,285.27
320,318.01,235.56
321,208.23,324.65
322,311.54,224.4
323,308.95,234.84
324,376.75,281.47
325,280.33,265.15
326,318.16,223.72
327,306.8,157.89
328,336.23,329.98
329,351.24,328.64
330,342.97,181.36
331,220.23,271.61
332,263.48,156.92
333,282.78,150.18
334,317.54,267.43
335,255.69,172.59
336,356.31,149.41
337,265.26,344.29
338,354.1,173.72
339,242.16,199.26
340,267.69,148.32
341,237.96,305.9
342,381.5,272.95
343,319.15,345.43
344,239.3,189.18
345,283.95,233.04
346,270.03,156.43
347,329.6,173.02
348,241.37,157.59
349,283.65,340.19
350,272.01,352.04
351,279.69,358.87
352,369.66,194.89
353,309.4,228.23
354,347.43,328.05
355,242.79,169.87
356,375.06,229.87
357,342.33,354.05
358,390.48,278.12
359,359.87,308.51
360,285.86,353.76
361,271.5,356.48
362,330.45,159.47
363,287.11,151.14
364,327.54,347.76
365,312.77,165.06
366,314.69,345.63
367,362.33,299.91
368,269.27,351.83
369,335.33,339.23
370,234.12,281.54
371,280.71,238.31
372,273.0,337.48
373,274.2,232.99
374,229.73,220.8
375,348.62,160.88
376,317.09,259.9
377,310.28,251.56
378,354.08,350.44
379,356.18,319.69
380,317.52,365.82
381,253.01,302.15
382,240.7,284.79
383,282.13,343.4
384,264.9,320.66
385,292.3,353.39
386,286.32,277.65
387,338.91,182.45
388,331.78,170.03
389,227.58,284.48
390,316.66,221.33
391,234.22,183.65
392,228.1,228.22
393,372.04,220.5
394,320.65,351.5
395,287.24,246.16
396,293.76,158.32
397,374.65,218.05
398,248.77,283.81
399,340.55,333.16
400,347.61,198.99
401,256.94,161.97
402,326.72,153.36
403,346.44,157.53
404,278.96,150.87
405,333.78,145.69
406,363.96,288.67
407,338.15,318.24
408,374.85,273.84
409,236.31,215.4
410,364.58,189.14
411,347.55,168.41
412,217.98,201.13
413,283.1,349.6
414,303.68,130.6
415,382.51,276.06
416,242.31,184.4
417,224.56,202.76
418,284.82,258.83
419,230.6,200.29
420,228.0,272.71
421,242.04,281.49
422,365.69,277.97
423,281.73,258.94
424,350.32,179.78
425,232.49,332.69
426,323.76,256.74
427,337.88,315.01
428,386.15,227.17
