,Salary,WorkingAge
0,423.0,44.0
1,388.0,37.0
2,472.0,8.0
3,381.0,44.0
4,591.0,20.0
5,541.0,47.0
6,552.0,44.0
7,462.0,25.0
8,426.0,11.0
9,589.0,42.0
10,466.0,30.0
11,470.0,29.0
12,582.0,9.0
13,453.0,26.0
14,601.0,39.0
15,464.0,32.0
16,412.0,18.0
17,553.0,45.0
18,570.0,4.0
19,545.0,45.0
20,445.0,37.0
21,522.0,11.0
22,442.0,29.0
23,435.0,29.0
24,449.0,27.0
25,613.0,16.0
26,561.0,23.0
27,444.0,41.0
28,465.0,32.0
29,613.0,17.0
30,565.0,25.0
31,436.0,31.0
32,381.0,31.0
33,533.0,24.0
34,406.0,21.0
35,383.0,9.0
36,625.0,9.0
37,425.0,37.0
38,374.0,37.0
39,489.0,3.0
40,431.0,10.0
41,442.0,47.0
42,589.0,10.0
43,604.0,21.0
44,604.0,39.0
45,419.0,6.0
46,559.0,6.0
47,528.0,30.0
48,614.0,22.0
49,573.0,22.0
50,445.0,9.0
51,486.0,23.0
52,459.0,4.0
53,588.0,36.0
54,534.0,41.0
55,389.0,10.0
56,533.0,6.0
57,603.0,23.0
58,454.0,27.0
59,419.0,38.0
60,428.0,25.0
61,411.0,7.0
62,609.0,37.0
63,422.0,41.0
64,457.0,4.0
65,582.0,10.0
66,452.0,28.0
67,580.0,38.0
68,528.0,29.0
69,605.0,18.0
70,593.0,45.0
71,590.0,10.0
72,410.0,31.0
73,424.0,40.0
74,430.0,9.0
75,430.0,25.0
76,443.0,20.0
77,430.0,30.0
78,435.0,39.0
79,390.0,25.0
80,517.0,4.0
81,555.0,5.0
82,556.0,24.0
83,389.0,36.0
84,541.0,10.0
85,588.0,40.0
86,549.0,23.0
87,415.0,6.0
88,634.0,19.0
89,515.0,22.0
90,559.0,40.0
91,557.0,17.0
92,487.0,47.0
93,474.0,0.0
94,423.0,38.0
95,455.0,41.0
96,529.0,45.0
97,641.0,11.0
98,616.0,14.0
99,407.0,39.0
100,431.0,29.0
101,572.0,42.0
102,436.0,30.0
103,474.0,47.0
104,567.0,9.0
105,379.0,43.0
106,407.0,34.0
107,569.0,33.0
108,404.0,33.0
109,419.0,44.0
110,544.0,5.0
111,624.0,24.0
112,546.0,25.0
113,413.0,30.0
114,595.0,15.0
115,413.0,14.0
116,544.0,10.0
117,571.0,41.0
118,418.0,41.0
119,539.0,22.0
120,477.0,27.0
121,534.0,2.0
122,621.0,16.0
123,452.0,32.0
124,557.0,6.0
125,540.0,42.0
126,577.0,27.0
127,587.0,25.0
128,528.0,25.0
129,554.0,17.0
130,469.0,27.0
131,577.0,39.0
132,638.0,17.0
133,453.0,8.0
134,518.0,2.0
135,520.0,4.0
136,604.0,12.0
137,467.0,45.0
