,Matches,AverageGoals
0,176.0,7.21
1,149.0,6.8
2,203.0,3.16
3,43.0,5.01
4,86.0,5.88
5,76.0,5.82
6,349.0,4.65
7,91.0,6.76
8,101.0,6.56
9,68.0,5.78
10,72.0,6.08
11,104.0,6.45
12,342.0,3.94
13,134.0,6.96
14,243.0,5.38
15,177.0,6.66
16,183.0,7.14
17,198.0,6.58
18,109.0,6.97
19,82.0,6.07
20,279.0,2.51
21,212.0,2.72
22,325.0,3.35
23,51.0,5.31
24,47.0,4.67
25,108.0,6.42
26,55.0,3.79
27,157.0,4.65
28,81.0,5.8
29,89.0,6.21
30,155.0,7.06
31,190.0,6.58
32,149.0,6.96
33,54.0,4.87
34,308.0,3.22
35,238.0,5.95
36,57.0,4.22
37,189.0,6.82
38,58.0,4.52
39,204.0,6.69
40,90.0,6.46
41,242.0,5.0
42,238.0,4.85
43,248.0,4.4
44,41.0,4.02
45,207.0,2.65
46,236.0,5.0
47,141.0,6.67
48,216.0,6.05
49,235.0,5.51
50,201.0,6.54
51,118.0,6.45
52,346.0,5.34
53,184.0,6.77
54,259.0,3.96
55,175.0,3.26
56,63.0,5.62
57,241.0,5.12
58,117.0,6.7
59,101.0,6.62
60,130.0,7.25
61,89.0,6.55
62,174.0,3.16
63,111.0,6.66
64,97.0,6.63
65,150.0,5.67
66,94.0,6.39
67,56.0,5.17
68,254.0,4.6
69,346.0,4.8
70,59.0,5.78
71,205.0,6.41
72,71.0,5.97
73,254.0,4.98
74,200.0,6.25
75,345.0,4.15
76,180.0,6.77
77,247.0,5.25
78,168.0,7.15
79,77.0,5.78
80,159.0,6.96
81,288.0,2.97
82,163.0,7.16
83,101.0,6.74
84,41.0,4.94
85,230.0,5.85
86,175.0,6.74
87,170.0,4.31
88,223.0,6.2
89,68.0,5.27
90,99.0,6.21
91,171.0,6.86
92,54.0,4.6
93,51.0,4.8
94,166.0,6.95
95,244.0,4.55
96,111.0,7.08
97,152.0,4.47
98,246.0,4.02
99,115.0,6.34
100,47.0,4.04
101,113.0,6.54
102,63.0,5.45
103,255.0,4.37
104,178.0,3.08
105,50.0,4.42
106,170.0,3.57
107,179.0,7.06
108,175.0,3.45
109,208.0,6.09
110,251.0,4.42
111,41.0,5.03
112,154.0,6.94
113,118.0,6.69
114,129.0,7.02
115,90.0,6.53
116,170.0,6.84
117,79.0,6.29
118,59.0,5.09
119,224.0,5.6
120,235.0,5.25
121,46.0,4.23
122,298.0,2.56
123,259.0,2.67
124,122.0,6.87
125,70.0,6.25
126,166.0,4.6
127,161.0,7.11
128,69.0,5.3
129,56.0,5.12
130,168.0,7.31
131,240.0,3.98
132,223.0,5.92
133,221.0,6.04
134,120.0,6.74
135,231.0,5.66
136,151.0,4.81
137,328.0,4.01
138,189.0,6.9
139,136.0,7.02
140,174.0,3.19
141,250.0,3.98
142,233.0,5.99
143,226.0,5.99
144,253.0,4.73
145,246.0,2.37
146,52.0,5.07
147,196.0,6.58
148,220.0,6.59
149,255.0,4.19
150,196.0,6.58
151,121.0,6.86
152,230.0,5.15
153,131.0,6.66
154,99.0,6.7
155,126.0,7.0
156,167.0,7.21
157,241.0,5.28
158,214.0,2.72
159,328.0,3.63
160,53.0,4.04
161,168.0,4.03
162,259.0,2.56
163,247.0,4.69
164,103.0,7.04
165,325.0,3.5
166,52.0,5.11
167,141.0,6.84
168,83.0,6.15
169,205.0,6.84
170,331.0,4.06
171,199.0,6.18
172,178.0,4.06
173,206.0,3.13
174,39.0,4.0
175,147.0,6.94
176,319.0,3.28
177,233.0,5.93
178,201.0,2.79
179,300.0,3.1
180,84.0,6.29
181,151.0,4.43
182,168.0,3.88
183,286.0,2.71
184,208.0,5.99
185,238.0,2.63
186,328.0,3.78
187,167.0,4.9
188,111.0,6.54
189,236.0,5.25
190,134.0,7.01
191,248.0,4.73
192,207.0,6.39
193,238.0,4.99
194,55.0,4.87
195,195.0,6.48
196,65.0,5.79
197,352.0,4.89
198,196.0,3.14
199,114.0,6.74
200,338.0,3.9
201,256.0,4.57
202,72.0,6.13
203,197.0,6.57
204,64.0,5.34
205,115.0,6.97
206,277.0,2.59
207,130.0,7.1
208,216.0,6.73
209,100.0,6.68
210,92.0,6.79
211,66.0,5.79
212,53.0,4.18
213,159.0,7.11
214,208.0,6.19
215,50.0,3.76
216,221.0,6.06
217,349.0,4.62
218,40.0,4.55
219,130.0,7.01
220,57.0,4.91
221,63.0,5.59
222,203.0,6.43
223,199.0,2.6
224,195.0,6.77
225,249.0,4.19
226,347.0,4.74
227,311.0,3.04
228,236.0,5.5
229,60.0,5.39
230,154.0,6.93
231,214.0,6.59
232,124.0,7.1
233,250.0,4.71
234,97.0,6.42
235,94.0,6.49
236,160.0,7.45
237,258.0,4.39
238,258.0,5.14
239,68.0,5.69
240,252.0,4.15
241,70.0,5.11
242,44.0,4.14
243,95.0,6.97
244,223.0,2.47
245,68.0,6.18
246,247.0,4.6
247,58.0,5.27
248,110.0,6.39
249,212.0,6.17
250,51.0,4.72
251,279.0,2.38
252,209.0,6.49
253,62.0,4.83
254,223.0,5.93
255,52.0,4.45
256,242.0,5.74
257,212.0,6.33
258,42.0,4.41
259,319.0,3.16
260,223.0,6.08
261,288.0,2.76
262,60.0,5.29
263,243.0,4.32
264,229.0,5.8
